Size,Traditional,Divide & Conquer, Strassen
16x16,3630,441035,278425
32x32,22725,3554140,1954770
64x64,170440,28528770,13656005
128x128,1350135,228496785,98447685
256x256,13040930,1814171220,676608900
2x2,240,560,325
4x4,320,6615,4785
8x8,790,55215,38925
16x16,3705,459655,280580
32x32,23070,3571265,1970815
64x64,170310,28437925,13712360
128x128,1346085,226978160,96362440
256x256,13064690,1815342370,676557440
2x2,225,570,275
4x4,335,6395,4750
8x8,785,54380,39020
16x16,4125,437290,277635
32x32,22990,3551055,1973235
64x64,170850,28439025,13693325
128x128,1351420,226692270,96238275
256x256,16581580,1813435180,676556730
2x2,215,620,300
4x4,315,6410,4945
8x8,975,54820,37875
16x16,3825,441785,274545
32x32,22800,3541610,1948815
64x64,170575,28280840,13672650
128x128,1366025,226714845,96268835
256x256,12999885,1812965450,676938650
2x2,230,570,280
4x4,310,6585,4995
8x8,765,53580,38330
16x16,3775,442535,278865
32x32,23025,3529445,1947215
64x64,169200,28504300,13646925
128x128,1356865,226748800,96436965
256x256,12868200,1815109365,677550500
2x2,220,700,300
4x4,320,6370,4680
8x8,775,54090,37890
16x16,3620,460380,276395
32x32,23010,3554925,1964610
64x64,171100,28343425,13707700
128x128,1356595,226483865,96253055
256x256,12809805,1813929370,678099290
2x2,245,570,285
4x4,310,6405,4745
8x8,950,54445,38205
16x16,3665,441645,277485
32x32,23155,3522275,1986655
64x64,191415,28494120,13701380
128x128,1376045,226901820,96391015
256x256,13050660,1814280845,677626255
2x2,250,555,315
4x4,335,6390,5150
8x8,915,54625,38060
16x16,3735,439835,275345
32x32,22745,3533315,1961560
64x64,170630,28341555,13701030
128x128,1364910,226483465,96396760
256x256,12954180,1813004680,675862460
2x2,235,585,255
4x4,310,6780,4995
8x8,790,54685,38425
16x16,3700,447425,279180
32x32,23015,3608960,1961125
64x64,169790,28392080,13654745
128x128,1349615,226484895,97445830
256x256,12977765,1815302425,676197610
2x2,215,590,305
4x4,335,6930,4830
8x8,780,54945,38670
16x16,3700,445565,278720
32x32,23175,3538255,2085990
64x64,176020,28379120,13664835
128x128,1371535,226622465,96493090
256x256,12908270,1814346785,676619080
2x2,225,555,285
4x4,320,6465,5035
8x8,790,54370,38055
16x16,3725,439835,276925
32x32,22885,3548365,1966490
64x64,170450,28574380,13673255
128x128,1363820,226847900,96589785
256x256,13119700,1814858985,678151810
2x2,230,565,280
4x4,315,6495,4855
8x8,795,55395,37875
16x16,3700,442355,279015
32x32,23025,3584860,1964360
64x64,171750,28252085,13850210
128x128,1364990,226534310,96424685
256x256,12944705,1814771890,676227115
2x2,225,570,285
4x4,310,6345,4890
8x8,770,53915,37915
16x16,3625,435045,273790
32x32,23370,3513200,1952080
64x64,169785,28340470,13776580
128x128,1365355,226655300,96459725
256x256,13005445,1814502920,676645705
2x2,230,580,290
4x4,315,6425,4800
8x8,785,54535,38575
16x16,3670,445255,277765
32x32,22945,3549360,1975210
64x64,171215,28358415,13646770
128x128,1350940,226238920,96180190
256x256,12847290,1812362250,676158685
2x2,215,620,280
4x4,325,6655,4775
8x8,785,54505,38520
16x16,3670,443165,278675
32x32,23080,3551240,1977025
64x64,171750,28317275,13667770
128x128,1353215,226620370,96230215
256x256,12978780,1813517030,676540025
2x2,255,575,325
4x4,310,6465,4790
8x8,795,55020,38495
16x16,3685,441975,277585
32x32,23050,3549860,1955040
64x64,171070,28173420,13650945
128x128,1353650,226829705,96357345
256x256,13036665,1827568855,678118450
2x2,220,615,320
4x4,310,6770,4710
8x8,775,54410,38265
16x16,3640,442120,277130
32x32,22745,3564640,1951985
64x64,169860,28307025,13664665
128x128,1377900,227255320,96323870
256x256,12961230,1815006885,677117865
2x2,245,625,335
4x4,310,6390,4835
8x8,795,54350,37985
16x16,3690,441915,276180
32x32,22870,3547520,1979090
64x64,169810,28306700,13718020
128x128,1359970,227297610,96601500
256x256,13211055,1814906035,676398070
2x2,220,570,290
4x4,305,6655,4740
8x8,775,54140,38355
16x16,3645,437795,274145
32x32,22870,3502450,1945735
64x64,169630,28220455,13591110
128x128,1445805,226395695,96366180
256x256,12976820,1814625160,677537715
2x2,255,825,425
4x4,320,6570,4795
8x8,970,55415,39040
16x16,3735,448940,280620
32x32,23150,3561900,1962825
64x64,172220,28223775,13744610
128x128,1361020,226824990,96682995
256x256,13220495,1815702720,676517440
2x2,220,560,300
4x4,335,6630,4755
8x8,770,54350,38435
16x16,3665,445010,277560
32x32,23040,3544140,1948840
64x64,170635,28323000,13622975
128x128,1391185,228056805,96305435
256x256,13222995,1816159345,679585885
2x2,230,595,290
