Size,Traditional,Divide & Conquer, Strassen
128x128,1353195,224604015,95969945
256x256,12923725,1806037825,673672845
2x2,225,620,280
4x4,310,6370,4750
8x8,775,54435,38505
16x16,3670,437470,274900
32x32,23460,3513725,1951530
64x64,168885,28196980,13667760
128x128,1339315,224384575,95939140
256x256,12780355,1804334015,673356145
2x2,205,565,310
4x4,300,6395,6065
8x8,775,54050,38655
16x16,3645,441680,275635
32x32,22745,3510805,1951095
64x64,169105,28220075,13719000
128x128,1347530,224807035,95938250
256x256,18359030,1803919670,673262130
2x2,200,595,295
4x4,305,6370,5240
8x8,770,54225,38105
16x16,4060,437160,274600
32x32,22735,3542010,1939945
64x64,169755,28323415,13709510
128x128,1352485,224854860,96133690
256x256,13010685,1804427570,673542625
2x2,220,640,300
4x4,305,6380,4730
8x8,845,54155,38225
16x16,3635,440850,275880
32x32,22950,3528290,1937655
64x64,169415,28201865,13828145
128x128,1343075,224612175,96087570
256x256,12844015,1803809355,673855945
2x2,240,620,275
4x4,310,6415,4755
8x8,765,54595,37935
16x16,3660,459645,275805
32x32,22885,3504560,1947050
64x64,170070,28206925,13697525
128x128,1351950,224568465,95967925
256x256,12930750,1804552890,673590760
2x2,225,635,300
4x4,310,6365,4715
8x8,785,54390,37835
16x16,3625,437095,273170
32x32,22775,3520765,1974810
64x64,169355,28325260,13668815
128x128,1353355,224802260,96113500
256x256,12905705,1804710395,673687475
2x2,220,625,295
4x4,305,6370,4700
8x8,785,54345,38255
16x16,3750,439515,273580
32x32,23500,3518475,1944010
64x64,169605,28214425,13677820
128x128,1341330,224465710,96236670
256x256,12929805,1804765905,673258085
2x2,210,565,285
4x4,310,6370,4715
8x8,775,54680,38255
16x16,3645,440240,277150
32x32,22960,3534260,1940415
64x64,169295,28192555,13704470
128x128,1350915,224448880,96238370
256x256,12929775,1804198105,673546115
2x2,215,615,300
4x4,305,6385,4665
8x8,770,54630,38585
16x16,3800,438580,277155
32x32,22855,3518915,1984450
64x64,169360,28195575,13656195
